nastavna_jedinica,razred,redni_br_casa,tip_nastavnog_casa,glavni_deo,domaci
Digitalni uredjaji i korisnicki programi,VI,1,obrada,"Cas se moze temeljiti ili na nastavnikovom izlaganju ili na razgovoru sa ucenicima. Poci od predznanja koja o ovoj temi ucenici vec imaju i prosiriti ih novim podacima. Podstaci ucenike da iznesu svoja zapazanja o mogucnosti primene IKT-a i da opisu svoja iskustva o koriscenju digitalnih uredjaja . Navesti vrste digitalnih uredjaja koje ucenici koriste, njihovu namenu i nacin koriscenja: tablet, mobilni telefon, digitalni foto-aparat, digitalna kamera, skener i stampac. Podsetiti se pojmova gradiva petog razreda – hardver i softver. Razgovarati sa ucenicima sta iz iskustva znaju o hardveru i digitalnim uredjajima. Cilj je da ucenici budu osposobljeni da razlikuju i imenuju osnovne digitalne uredjaje koje koriste i razumeju njihovu namenu. Skrenuti paznju na pravilno rukovanje digitalnim uredjajima. Objasniti i demonstrirati ucenicima nacine povezivanja digitalnih uredjaja i prenosa sadrzaja sa jednog na drugi uredjaj.",Odgovori na pitanja iz udzbenika na strani 11. Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima.
Upravljanje digitalnim dokumentima,VI,2,obrada,"Objasniti i demonstrirati, korak po korak, prenos podataka sa mobilnog telefona na racunar. Ucenici povezuju svoj mobilni telefon sa racunarom i prebacuju pripremljeni materijal. Objasniti i demonstrirati, korak po korak, prenos podataka sa skenera na racunar. Objasniti i demonstrirati, korak po korak, otvaranje, promenu, cuvanje, i stampu digitalnih dokumenata. Na primerima objasniti koliko je neophodno organizovanje datoteka i fascikli u racunaru: cuvanje i pronalazenje, premestanje, kopiranje, brisanje, promena imena i kreiranje nove. Ucenici vezbaju da prave fascikle, premestaju i kopiraju datoteke u njih, menjaju im ime, brisu po potrebi, sa svrhom dobrog organizovanja podataka na disku. Podsetiti ucenike na to sta oznacava vrsta datoteke i pojam ekstenzije. Podstaci ih da se prisete koje sve vrste datoteka postoje (tekst, brojevi, slike, zvuk, video i multimedija). Objasniti postupak upravljanja obrisanim datotekama i folderima prikazom upotrebe sistemskog foldera korpa za otpatke.",Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima.
"Digitalni uredjaji i korisnicki programi, Upravljanje digitalnim dokumentima",VI,3,utvrdjivanje,"Ucenici povezuju svoj mobilni telefon sa racunarom i prebacuju fotografije. Ucenici vezbaju rad sa fasciklama i datotekama: kretanje kroz fascikle (koriscenjem Windows Explorer-a), svojstva fascikli i datoteka, oznacavanje objekata, kreiranje fascikle, promene imena objekata, premestanje i kopiranje, brisanje i vracanje obrisanih objekata. Ucenici uz pomoc nastavnika rade zadatke iz udzbenika na strani 17. Ucenici pretrazuju slike na racunaru uz pomoc ekstenzija.","Ucenici treba da posvete vise paznje onim delovima koje su obradjivali na nastavi, a koje nisu najbolje razumeli, kako bi ih kroz dodatno vezbanje uspesno savladali."
Rad sa slikama,VI,4,obrada,"Razgovarati sa ucenicima o izvorima digitalnih slika. Na primeru virtuelne tastature prikazati i objasniti postupak slikanja ekrana. Prikazati i objasniti elemente radnog okruzenja programa Picture Manager. Primerima pokazati kako se uredjuje digitalna slika pomocu postojecih alata (autokorekcija, kontrast i osvetljenost, promena velicine slike, rotiranje slike, kompresija, cuvanje i sl.). Pokazati ucenicima i neke onlajn programe za obradu slika, kao i neke koji se koriste u operativnom sistemu Android.",Odgovori na pitanja iz udzbenika na strani 21. Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima.
Rad sa tekstom,VI,5,obrada,"Objasniti ucenicima elemente radnog okruzenja programa Microsoft Word. Razgovarati sa ucenicima o razlikama radnog okruzenja u odnosu na WordPad. Ucenici dodaju tekst u pripremljenu datoteku. U toku rada na dokumetu nastavnik demonstrira, a ucenici primenjuju razlicite prikaze, zatim menjaju velicinu margina, orijentacije papira i velicine papira. Nakon toga, nastavnik demonstrira, a ucenici na tekstu primenjuju osnovne alate za uredjivanje i oblikovanje teksta (poravnanje, promena fonta, boje, velicine slova itd.) i primenjuju razlicite stilove. Na istom primeru nastavnik demonstrira mogucnosti ubacivanja grafickih elemenata kao sto su slike, crtezi, datum i vreme, grafikoni, matematicke formule i sl. Ukazati na svrhu umetanja takvih elemenata navodeci jednostavne primere i povezati tehniku umetanja ovih elemenata sa umetanjem slika, koje su vrsili u petom razredu. Na primeru umetanja tabele iz udzbenika nastavnik detaljnije objasnjava umetanje i oblikovanje tabela, i uvodi elemente tabele: celija, red i kolona. Predstaviti alate za rad sa tabelama koji su dostupni u programu za obradu teksta. Vezbati njihovo dodavanje, brisanje, selekciju, primeniti sablone za dizajn i sl. Ucenici vezbaju umetanje oblika i tabela, kao i njihovo oblikovanje. Ucenici cuvaju tekstualni dokument na disku, pregledaju ga pre stampanja, podesavaju parametre za stampu i, ako postoje uslovi, stampaju dokument.",Uradi vezbe iz udzbenika na strani 29. Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima.
"Rad sa slikama, Rad sa tekstom",VI,6,utvrdjivanje,"Ucenici po uputstvu nastavnika obradjuju sliku.Ucenici sliku ubacuju u tekstualni dokument.Nakon toga, ucenici na tekstu primenjuju osnovne alate za uredjivanje i oblikovanje teksta (poravnanje, promena fonta, boje, velicine slova itd.) i primenjuju razlicite stilove po uputstvu nastavnika. Ucenici ubacuju i oblikuju tabelu u dokument. Ucenici primenjuju razlicite prikaze dokumenta, zatim menjaju velicinu margina, orijentacije papira i velicine papira. Ucenici cuvaju tekstualni dokument na disku, pregledaju ga pre stampanja, podesavaju parametre za stampu i, ako postoje uslovi, stampaju dokument.",Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima.
Audio i video sadrzaj,VI,7,obrada,"Razgovarati sa ucenicima o tome koji digitalni uredjaji sluze za snimanje, a koji za reprodukciju audio i video sadrzaja. Na primeru programa Snimac zvuka, obuhvatiti najosnovnije tehnike u postupku snimanja (pokreni, zaustavi, sacuvaj, obrisi). Podsetiti se postupka snimanja video sadrzaja. Nakon toga, podsetiti se na primeru naredbi za reprodukciju zvucnih i video datoteka (pokreni, pauziraj, zaustavi, pusti od pocetka, podesi jacinu zvuka). Nakon toga, objasniti osnovne elemente radnog okruzenja programa za obradu audio-zapisa, Audacity. Na primeru objasniti postupke ubacivanja audio sadrzaja i postupak njihove obrade. Nakon toga, objasniti osnovne elemente radnog okruzenja programa za obradu video-zapisa, Windows Movie Maker. Na primeru objasniti postupke ubacivanja slika i video-datoteka i postupak sastavljanja video-zapisa. Takodje, objasniti mogucnosti dodavanja vizuelnih efekata nad elementima i efekata pretapanja elemenata. Na istom primeru prikazati i objasniti mogucnosti dodavanja natpisa (titlova), snimanja i dodavanja zvukova i postupak cuvanja video-datoteke. Uputiti ucenike na razlicite programe za obradu audio i video sadrzaja. Prilikom vezbanja kako se cuvaju audio i video datoteke, skrenuti paznju na razlicite tipove datoteka u odredjenom programu (npr. mp3, mp4, avi, midi, itd.). Objasniti ucenicima pojam konverzije i na primeru demonstrirati konverziju izmedju razlicitih tipova datoteka. Uputiti ucenike na razlicite programe za konverziju.",Odgovori na pitanja iz udzbenika na strani 34. Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima. Pokusaj da sam napravis neku audio ili video datoteku.
Rad sa multimedijalnim prezentacijama,VI,8,obrada,"Objasniti ucenicima pojam multimedije i multimedijalne prezentacije, kao i elemente radnog okruzenja programa PowerPoint 2010. Pri izradi multimedijalnih prezentacija primeniti osnovne alate za uredjivanje i oblikovanje sadrzaja. U programu za izradu multimedijalnih prezentacija koristiti ranije izradjene zvucne i video zapise. Prilagoditi tip datoteke izabranom programu (koristiti neki od programa za konverziju podataka). Na primeru objasniti pojmove slajda i objekta, nacine rasporedjivanja objekata unutar slajda, kreiranje novog slajda, dizajniranje pozadine slajdova. Prikazati i objasniti opcije kartice Insert (umetanje teksta, slika, zvuka, video-zapisa). Zatim, pokazati ucenicima koji nacini za pokretanje prezentacije postoje. Objasniti ucenicima sta je dobra prezentacija i pomoci im da dodju do zakljucka koliko je u prezentaciji vazan njen sadrzaj, a ne samo forma. Na kraju, ucenici kreiraju prezentaciju na osnovu prethodno pripremljenog materijala za obradu nastavne jedinice nekog drugog predmeta. Materijal bira sam nastavnik ili ucenik.","Dovrsi prezentaciju kod kuce, ukoliko to nisi uradio na casu. Odgovori na pitanja iz udzbenika na strani 40. Pripremi materijal koji ces koristiti prilikom izrade multimedijalne prezentacije na sledecem casu. Audio i video datoteke pripremi uz pomoc programa Sound Recorder i Windows Movie Maker."
Upravljanje prezentacijom,VI,9,obrada,"Nastavnik sa ucenicima predlaze nekoliko tema za izradu prezentacije. Teme treba da budu smislene i relevantne za ucenike, najbolje je da se koriste prezentacije u kojima se obradjuju teme iz nastave, kako informatike i racunarstva, tako i drugih predmeta. Ucenici kreiraju prezentaciju koristeci unapred pripremljen materijal. Pri izradi multimedijalnih prezentacija primeniti osnovne alate za uredjivanje i oblikovanje sadrzaja. U programu za izradu multimedijalnih prezentacija koristiti ranije izradjene zvucne i video-zapise. Na primeru demonstrirati primenu animacije objekata i prelaza izmedju slajdova i postavljanje sablona. Objasniti ucenicima sta je dobra prezentacija i dati im korisne savete i pravila. Na kraju, objasniti razlicite formate za cuvanje prezentacija.","Dovrsi prezentaciju kod kuce, ukoliko to nisi uradio na casu. Odgovori na pitanja iz udzbenika na strani 44."
"Rad sa multimedijalnim prezentacijama, Audio i video sadrzaji",VI,10,utvrdjivanje,"Nastavnik sa ucenicima predlaze nekoliko tema za izradu prezentacije. Ucenici imaju zadatak da obrade audio ili video materijal potreban za izradu multimedijalne prezentacije. Ucenici kreiraju prezentaciju koristeci pripremljeni materijal. Pri izradi multimedijalnih prezentacija primenjuju osnovne alate za uredjivanje i oblikovanje sadrzaja. U programu za izradu multimedijalnih prezentacija koriste izradjene zvucne ili video-zapise. Ucenici dodaju animacije objektima, kao i prelaz izmedju slajdova. U izradi prezentacije ucenici se pridrzavaju pravila za izradu dobre prezentacije. Na kraju, prezentaciju cuvaju u razlicitim formatima za cuvanje prezentacija.","Dovrsi prezentaciju kod kuce, ukoliko to nisi uradio na casu. Proveri i unapredi stecena znanja uz pomoc sadrzaja u dodatnim digitalnim materijalima."
